"Story","Title","Result","Date","Stability","Duration (s)"
"Autenticacion en el aplicativo de PetStore","Autenticacion exitosa","SUCCESS","2024-03-10T11:17:57.728-05:00[America/Bogota]","0.0","15.07"
"Autenticacion en el aplicativo de PetStore","Autenticación fallida usuario no existe","SUCCESS","2024-03-10T11:18:12.808-05:00[America/Bogota]","0.0","13.78"
"Autenticacion en el aplicativo de PetStore","Autenticación fallida clave de usuario incorrecta","SUCCESS","2024-03-10T11:18:26.592-05:00[America/Bogota]","0.0","11.47"
"Compra en el aplicativo de PetStore","Compra exitosa mediante el tipo de animal","SUCCESS","2024-03-10T11:18:41.568-05:00[America/Bogota]","0.0","58.81"
"Compra en el aplicativo de PetStore","Compra exitosa mediante la busqueda del nombre del animal","SUCCESS","2024-03-10T11:19:40.382-05:00[America/Bogota]","0.0","31.0"
"Compra en el aplicativo de PetStore","Compra fallida - agregar una cantidad de 0 productos del animal seleccionado","SUCCESS","2024-03-10T11:20:11.381-05:00[America/Bogota]","0.0","15.33"
"Compra en el aplicativo de PetStore","Remover el producto agregado en el carrito de compras","SUCCESS","2024-03-10T11:20:26.712-05:00[America/Bogota]","0.0","13.15"
"Registro en el aplicativo de PetStore","Registro exitoso","SUCCESS","2024-03-10T11:20:52.802-05:00[America/Bogota]","0.0","20.64"
"Registro en el aplicativo de PetStore","Registro fallido usuario ya existe","SUCCESS","2024-03-10T11:21:13.441-05:00[America/Bogota]","0.0","21.44"
"Registro en el aplicativo de PetStore","Registro fallido con datos incompletos","SUCCESS","2024-03-10T11:21:34.892-05:00[America/Bogota]","0.0","41.05"
